Curso;Cadeiras;Turno;Turma;Inscritos;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala;Lotação;Características reais da sala;Sala da aula
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Sex;13:00:00;14:30:00;02/12/2022;Sala Aulas Mestrado;AA2.25;52.0;Sala/anfiteatro aulas, Horário sala visível portal público;1,00E+05
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Qua;13:00:00;14:30:00;23/11/2022;Sala Aulas Mestrado;AA2.25;1.0;Sala/anfiteatro aulas, Horário sala visível portal público;Balneário feminino
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Qua;13:00:00;14:30:00;16/11/2022;Sala Aulas Mestrado;AA2.25;10.0;Sala/anfiteatro aulas, Horário sala visível portal público;AA4.07
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Qua;13:00:00;14:30:00;09/11/2022;Sala Aulas Mestrado;AA2.25;12.0;Sala/anfiteatro aulas, Horário sala visível portal público;B1.01
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Qua;13:00:00;14:30:00;02/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público;C5.05
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;13:00:00;14:30:00;28/11/2022;Sala Aulas Mestrado;AA2.25;38.0;Sala/anfiteatro aulas, Horário sala visível portal público;AA3.25
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;13:00:00;14:30:00;21/11/2022;Sala Aulas Mestrado;AA2.25;48.0;Sala/anfiteatro aulas, Horário sala visível portal público;AA3.28
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;13:00:00;14:30:00;14/11/2022;Sala Aulas Mestrado;AA2.25;52.0;Sala/anfiteatro aulas, Horário sala visível portal público;C4.01
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;13:00:00;14:30:00;07/11/2022;Sala Aulas Mestrado;AA2.25;56.0;Sala/anfiteatro aulas, Horário sala visível portal público;C6.08
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Ter;13:00:00;14:30:00;29/11/2022;Sala Aulas Mestrado;AA2.25;50.0;Sala/anfiteatro aulas, Horário sala visível portal público;2,00E+07
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Ter;13:00:00;14:30:00;22/11/2022;Sala Aulas Mestrado;AA2.25;50.0;Sala/anfiteatro aulas, Horário sala visível portal público;2,00E+08
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Ter;13:00:00;14:30:00;15/11/2022;Sala Aulas Mestrado;AA2.25;27.0;Sala/anfiteatro aulas, Horário sala visível portal público;D1.12
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Ter;13:00:00;14:30:00;08/11/2022;Sala Aulas Mestrado;AA2.25;89.0;Sala/anfiteatro aulas, Horário sala visível portal público;Auditório 0NE02-Caiano Pereira
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Sex;10:30:00;12:00:00;04/11/2022;Sala Aulas Mestrado;AA2.26;12.0;Sala/anfiteatro aulas, Horário sala visível portal público;0E07.1
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Sex;12:00:00;13:30:00;04/11/2022;Sala Aulas Mestrado;AA2.26;41.0;Sala/anfiteatro aulas, Horário sala visível portal público;Espaço Exposições
